"PLAYER001",??????????,AAAAAAAAAA,AAAAAAAAAA,AAAAAAAAAA,300
"PLAYER002",WWWWWWWWWW,AAAAAAAAAA,??????????,??????????,100
"PLAYER003",??????????,AAAAAAAAAA,??????????,WWWAAAAAWW,150
"PLAYER004",WWWWWWWWWW,RRRRRRRRRR,RRRRRRRRRR,RRRRRRRRRR,0
"PLAYER005",WWWAAAWWAW,AAAAAAAAAA,WWAAAWWAAW,??????????,190
"PLAYER006",WWWAAAWWAW,WWAWWWWAWW,??????????,??????????,60
"PLAYER007",WTWTAATWTT,??????????,??????????,??????????,20
"PLAYER008",WTWTTTTTTT,WWWWWWWWWW,??????????,RRRRRRRRRR,0
"PLAYER009",WWWAAAWWAW,AWAWWWWWWW,WWWWWWWWWW,??????????,60
"PLAYER012",??????????,??????????,??????????,??????????,0

"R=无法运行
T=超时
M=超内存
Y=运行时错误
B=崩溃
A=正确
W=错误的答案
P=得部分分
*=程序无输出
[=缺标准输入
]=无标准输出
?=无程序
^=自定义评测错误
-=编译错误"
